Julian, Ravenclaw
Tyler, Hufflepuff
Jada, Ravenclaw
Colton, Hufflepuff
Margo, Slytherin
Camila Cienfuego, Hufflepuff
Joelle, Hufflepuff
Amirah, Gryffindor
Adrian, Gryffindor
Noor, Ravenclaw
Rachael, Hufflepuff
Jail, Hufflepuff
Avery, Slytherin
Sasha B. Jordan, Ravenclaw
Zoie, Slytherin
Jonas, Hufflepuff
Marian, Gryffindor
Ramona, Slytherin
Maya, Ravenclaw
Dhruv, Hufflepuff
Sebastian, Ravenclaw
Silas, Slytherin
James, Ravenclaw
Aidan, Ravenclaw
Freya, Gryffindor
Ann, Slytherin
Dierdre, Ravenclaw
Estelle McKnight, Gryffindor
